"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL231448","OCCN1CCN(CC1)C(=O)OC[C@H]2CC[C@H](N2S(=O)(=O)c3ccc(Cl)cc3)c4ccccc4","6.26760624"
"CHEMBL231351","Clc1ccc(cc1)S(=O)(=O)N2[C@@H](COC(=O)NCCCn3ccnc3)CC[C@H]2c4ccccc4","6.187086643"
"CHEMBL231035","Clc1ccc(cc1)S(=O)(=O)N2C(CCOC(=O)N3CCN(CC3)C4CCCCC4)CCc5ccccc25","6"
"CHEMBL231447","CN1CCCC1CCNC(=O)OCCCC2CCc3ccccc3N2S(=O)(=O)c4ccc(Cl)cc4","6.657577319"
"CHEMBL74874","CC1(C)[C@H]2CCC(C)(C2)[C@H]1NS(=O)(=O)c3ccc(Cl)cc3","4.958607315"
"CHEMBL1084945","COc1ccc2cc(oc2c1)c3ccc(nc3)C(=O)N","7.22184875"
"CHEMBL274414","CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(OC)cc3)c2)C1=O)C(=O)N","6.795880017"
"CHEMBL205970","CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc4OCOc4c3)c2)C1=O)C(=O)N","6.818156412"
"CHEMBL208350","CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(C)c3)c2)C1=O)C(=O)N","7.769551079"
"CHEMBL196946","OC(=O)C1(CC1)c2ccc(c(F)c2)c3csc4ccccc34","4.016373713"
"CHEMBL196070","CC(c1ccc(c(F)c1)c2ccc(cc2)C(F)(F)F)c3nnn[nH]3","3.943095149"
"CHEMBL1458517","CC1=Nc2sc3CCCCc3c2C(=O)O1","5.920818754"
"CHEMBL2179242","[O-][N+](=O)c1cc(Cl)ccc1NC(=O)Nc2ccccc2","6.045757491"
"CHEMBL3659993","CC(=O)CC[C@@H]1OCC[C@@]2([C@H]1COc3c(F)ccc(F)c23)S(=O)(=O)c4ccc(Cl)cc4","8.15490196"
"CHEMBL394713","COc1ccc(\C=C\c2cccc(\C=C\c3ccc(OC)c(c3)N(C)C)n2)cc1N(C)C","6.045757491"
"CHEMBL248131","CN(C)c1ccc(\C=C\c2cccc(\C=C\c3ccc(N(C)C)c(O)c3)c2)cc1O","6.15490196"
"CHEMBL398395","O[C@@H]1CCN(C1)C(=O)OC2(CC2)[C@H]3CCC[C@@H](C4CC4)N3S(=O)(=O)c5ccc(Cl)cc5","7.337242168"
"CHEMBL239858","CCC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCC(CC4)N5CCCCC5","8.602059991"
"CHEMBL245478","CN(C)c1ccc(\C=C\c2cc(Br)cc(\C=C\c3ccc(cc3)N(C)C)c2)cc1","4.698970004"
"CHEMBL392144","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCC(O)(CC)CC4","8.494850022"
"CHEMBL248337","COc1ccc(\C=C\c2cccc(\C=C\c3ccc(OC)c(c3)N(C)C)c2)cc1N(C)C","5.958607315"
"CHEMBL248132","COc1ccc(\C=C\c2cccc(\C=C\c3ccc(OC)c(N)c3)c2)cc1N","6.522878745"
"CHEMBL247524","COc1cc(\C=C\c2cccc(\C=C\c3ccc(N)c(OC)c3)n2)ccc1N","6.15490196"
"CHEMBL236185","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(F)cc2)C3(CC3)OC(=O)N4CCN(CC4)C(C)(C)CO","7.602059991"
"CHEMBL236183","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCN(CCCO)CC4","7.823908741"
"CHEMBL396542","CN1CCN(CC1)C(=O)OC[C@H]2CC[C@H](N2S(=O)(=O)c3ccc(Cl)cc3)c4ccccc4","6.346787486"
"CHEMBL231548","Clc1ccc(cc1)S(=O)(=O)N2[C@@H](COC(=O)N3CCC(CC3)N4CCCCC4)CC[C@H]2c5ccccc5","6.744727495"
"CHEMBL372751","CC1(C)CCC(CC1)c2ccc(cc2)c3ccc(cc3F)C4(CC4)C(=O)O","4.337242168"
"CHEMBL3330746","CC(C)(C)n1c2cc(sc2c3sc(cc13)c4ccc(C=O)s4)c5ccc(cc5)N(c6ccccc6)c7ccccc7","5"
"CHEMBL3330751","COc1ccc(cc1)c2cc3c(s2)c4sc(cc4n3C(C)(C)C)c5ccc(C=O)s5","6.420216403"
"CHEMBL311039","CC1(C)C2CCC(C)(C2)C1NS(=O)(=O)c3ccc(F)cc3","5.301029996"
