"Name","SMILES","IC50 (nM)","pIC50"
"CHEMBL1092740","CC(=O)Nc1ccc(/N=N/c2c(S(=O)(=O)O)cc3cc(NC(=O)Nc4ccc5c(O)c(/N=N/c6ccccc6)c(S(=O)(=O)O)cc5c4)ccc3c2O)cc1",13700,4.863279432843593
"CHEMBL3774787","N=C(N)NCCC[C@H]1NC(=O)/C(=C/c2ccc(O)c(OCC[C@H](NC(=O)C[C@@](O)(CC(=O)N[C@H](CC(=O)O)C(=O)O)C(=O)O)C(=O)O)c2)NC1=O",11,7.958607314841775
"1i","O=C1/C(=C/c2cc(Br)c(O)c(Br)c2)CCC/C1=C\c1cc(Br)c(O)c(Br)c1",2300,5.638272163982407
"CHEMBL502089","COc1cc(C(=O)C2=C3OC(C)(C)[C@@H](CC=C(C)C)C[C@@]34C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C2=O)C4=O)ccc1O",5000,5.301029995663981
"CHEMBL3775787","COc1ccc(C(=O)C2=C3OC(C)(C)[C@H](CC=C(C)C)C[C@]34C[C@@H](/C=C\C(C)C)C(C)(C)[C@](CC=C(C)C)(C2=O)C4=O)cc1O",5000,5.301029995663981
"CHEMBL3774491","N=C(N)NCCC[C@@H]1NC(=O)/C(=C/c2ccc(O)c(OCC[C@@H](NC(=O)C[C@](O)(CC(=O)O)C(=O)O)C(=O)O)c2)NC1=O",22,7.657577319177793
"CHEMBL502489","C=C(C)[C@@H](CC=C(C)C)C[C@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O",1700,5.769551078621726
"CHEMBL3774884","C=C(C)[C@@H](/C=C/C(C)C)C[C@]12C[C@H](/C=C\C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O",7000,5.154901959985743
"23","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C2CC2)C(F)(F)F)C1=O",32,7.494850021680094
"1d","O=C1/C(=C/c2ccc(O)c(I)c2)CCC/C1=C\c1ccc(O)c(I)c1",8100,5.0915149811213505
"CHEMBL2171189","O=C(c1ccc(O)c(NC(=O)c2cccc3ccccc23)c1)c1ccc(O)c(NC(=O)c2cccc3ccccc23)c1",15200,4.818156412055227
"24","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O",60,7.221848749616356
"18","C[C@H](C1CC1)N(Cc1ccccc1)C(=O)CN1C(=O)N[C@]2(CCc3cc(NS(C)(=O)=O)ccc32)C1=O",16000,4.795880017344076
"22","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccccc2)[C@H](C)C2CC2)C1=O",25,7.6020599913279625
"21","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccccc2)[C@H](C)C2CC2)C1=O",121,6.91721462968355
